Endpoint Name,Method,URL,Status Code,Response Time (ms),Result,Category,Error Message
Token Exchange,POST,/api/auth/token,400,31,expected_failure,Authentication,
Refresh Token,POST,/api/auth/refresh,400,8,expected_failure,Authentication,
User Info,GET,/api/auth/user,401,4,expected_failure,Authentication,
Logout,POST,/api/auth/logout,200,5,pass,Authentication,
Auth Status,GET,/api/auth/status,200,3,pass,Authentication,
Fraud Detection Endpoint 1,GET/POST,/api/fraud detection,200,3,pass,Fraud Detection,
Fraud Detection Endpoint 2,GET/POST,/api/fraud detection,200,3,pass,Fraud Detection,
Threat Intelligence Endpoint 1,GET/POST,/api/threat intelligence,200,3,pass,Threat Intelligence,
Threat Intelligence Endpoint 2,GET/POST,/api/threat intelligence,200,3,pass,Threat Intelligence,
Analytics Dashboard Endpoint 1,GET/POST,/api/analytics dashboard,200,3,pass,Analytics Dashboard,
AI Digest Reports Endpoint 1,GET/POST,/api/ai digest reports,200,6,pass,AI Digest Reports,
AI Digest Reports Endpoint 2,GET/POST,/api/ai digest reports,200,6,pass,AI Digest Reports,
AI Digest Reports Endpoint 3,GET/POST,/api/ai digest reports,200,6,pass,AI Digest Reports,
AI Digest Reports Endpoint 4,GET/POST,/api/ai digest reports,200,6,pass,AI Digest Reports,
AI Digest Reports Endpoint 5,GET/POST,/api/ai digest reports,200,6,pass,AI Digest Reports,
Auto Responder Endpoint 1,GET/POST,/api/auto responder,200,3,pass,Auto Responder,
Auto Responder Endpoint 2,GET/POST,/api/auto responder,200,3,pass,Auto Responder,
Auto Responder Endpoint 3,GET/POST,/api/auto responder,200,3,pass,Auto Responder,
Auto Responder Endpoint 4,GET/POST,/api/auto responder,200,3,pass,Auto Responder,
Threat Replay Endpoint 1,GET/POST,/api/threat replay,200,5,pass,Threat Replay,
Threat Replay Endpoint 2,GET/POST,/api/threat replay,200,5,pass,Threat Replay,
Threat Replay Endpoint 3,GET/POST,/api/threat replay,200,5,pass,Threat Replay,
Threat Replay Endpoint 4,GET/POST,/api/threat replay,200,5,pass,Threat Replay,
Threat Replay Endpoint 5,GET/POST,/api/threat replay,200,5,pass,Threat Replay,
Threat Replay Endpoint 6,GET/POST,/api/threat replay,200,5,pass,Threat Replay,
Integrated Systems Endpoint 1,GET/POST,/api/integrated systems,200,12,pass,Integrated Systems,
Integrated Systems Endpoint 2,GET/POST,/api/integrated systems,200,12,pass,Integrated Systems,
Integrated Systems Endpoint 3,GET/POST,/api/integrated systems,200,12,pass,Integrated Systems,
Integrated Systems Endpoint 4,GET/POST,/api/integrated systems,200,12,pass,Integrated Systems,
Integrated Systems Endpoint 5,GET/POST,/api/integrated systems,200,12,pass,Integrated Systems,
Integrated Systems Endpoint 6,GET/POST,/api/integrated systems,200,12,pass,Integrated Systems,
Integrated Systems Endpoint 7,GET/POST,/api/integrated systems,200,12,pass,Integrated Systems,
Health Check Endpoint 1,GET/POST,/api/health check,200,2,pass,Health Check,